Sample Observation Choice Path Beta1 Beta2 Beta3 Beta4 IsObservedPath Probability
1 1 1 5882-5880-5774-5776-6716-2634-2645-2642-6467-6466-2749-6465-6747-6464-6463-5067-579-6811-852-850-848-3024-3022-7189-7187-846-844-842-840-838-1983-2001-2003-4120-7610 -2.781400e+00 -1.022400e+00 -5.453000e-01 -4.442600e+00 1 4.372719e-01
1 1 2 5882-5880-5774-5776-6716-2634-2645-2642-6467-6466-2749-6465-6747-6464-6463-5067-579-6811-852-850-848-3024-3022-7189-7187-846-844-842-840-838-1983-2001-2003-4120-7610 -2.781400e+00 -1.022400e+00 -5.453000e-01 -4.442600e+00 1 4.372719e-01
1 1 3 5882-5880-5774-5776-6716-2634-2635-2643-6467-6466-2749-6465-6747-6464-6463-5067-579-6811-852-850-848-3024-3022-7189-7187-846-844-842-840-838-1983-2001-2003-4120-7610 -2.781400e+00 -1.022400e+00 -5.453000e-01 -4.442600e+00 0 5.384597e-01
1 1 4 5882-5880-5774-5776-6716-2634-2645-2642-6467-6466-2749-6465-6747-6464-6463-5067-579-6811-852-850-848-3024-3022-7189-7187-846-844-988-4797-838-1983-2001-2003-4120-7610 -2.781400e+00 -1.022400e+00 -5.453000e-01 -4.442600e+00 0 2.426839e-02
1 1 5 5882-5880-5774-5776-6716-2634-2635-2643-6467-6466-2749-6465-6747-6464-6463-5067-579-6811-852-850-848-3024-3022-7189-7187-846-844-842-840-838-1983-2001-2003-4120-7610 -2.781400e+00 -1.022400e+00 -5.453000e-01 -4.442600e+00 0 5.384597e-01
1 2 1 3139-6111-6395-2364-2366-7085-5671-2351-4657-5666-5668-3085-3087-7150-3089-7327 -2.781400e+00 -1.022400e+00 -5.453000e-01 -4.442600e+00 0 2.577171e-01
1 2 2 3139-6111-6395-2364-6368-6370-7112-5838-5090-5089-1126-2279-431-428-7327 -2.781400e+00 -1.022400e+00 -5.453000e-01 -4.442600e+00 0 4.327754e-01
1 2 3 3139-3911-3147-5950-6390-3117-6370-7112-5838-5090-5089-1126-2279-431-428-7327 -2.781400e+00 -1.022400e+00 -5.453000e-01 -4.442600e+00 0 9.094907e-02
1 2 4 3139-3911-3147-5950-6390-3117-6370-7112-5838-5090-5089-1126-2279-431-428-7327 -2.781400e+00 -1.022400e+00 -5.453000e-01 -4.442600e+00 0 9.094907e-02
1 2 5 3139-3911-6110-6108-3131-3133-5954-7112-5838-5090-5089-1126-2279-431-428-7327 -2.781400e+00 -1.022400e+00 -5.453000e-01 -4.442600e+00 0 2.185584e-01
1 3 1 2353-3328-5237-3326-3324-3322-3320-7561 -2.781400e+00 -1.022400e+00 -5.453000e-01 -4.442600e+00 0 8.704108e-01
